car_id,transmission_type,engine_size_cm3,fuel_type,powertrain,CO2_emission
1,Manual,1368,Petrol,Internal Combustion Engine (ICE),161
2,Manual,1368,Petrol,Internal Combustion Engine (ICE),153
3,Manual,1368,Petrol,Internal Combustion Engine (ICE),169
4,Manual,1368,Petrol,Internal Combustion Engine (ICE),162
5,Manual,1368,Petrol,Internal Combustion Engine (ICE),169
6,Manual,1368,Petrol,Internal Combustion Engine (ICE),162
7,Manual,1368,Petrol,Internal Combustion Engine (ICE),169
8,Manual,1368,Petrol,Internal Combustion Engine (ICE),162
9,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
10,Automatic,1368,Petrol,Internal Combustion Engine (ICE),172
11,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
12,Automatic,1368,Petrol,Internal Combustion Engine (ICE),172
13,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
14,Automatic,1368,Petrol,Internal Combustion Engine (ICE),172
15,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
16,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
17,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
18,Manual,1368,Petrol,Internal Combustion Engine (ICE),165
19,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
20,Manual,1368,Petrol,Internal Combustion Engine (ICE),165
21,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
22,Manual,1368,Petrol,Internal Combustion Engine (ICE),165
23,Manual,1368,Petrol,Internal Combustion Engine (ICE),165
24,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
25,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
26,Manual,1368,Petrol,Internal Combustion Engine (ICE),165
27,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
28,Manual,1368,Petrol,Internal Combustion Engine (ICE),165
29,Automatic,1368,Petrol,Internal Combustion Engine (ICE),177
30,Automatic,1368,Petrol,Internal Combustion Engine (ICE),162
31,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
32,Manual,1368,Petrol,Internal Combustion Engine (ICE),165
33,Automatic,1368,Petrol,Internal Combustion Engine (ICE),177
34,Automatic,1368,Petrol,Internal Combustion Engine (ICE),162
35,Manual,1368,Petrol,Internal Combustion Engine (ICE),165
36,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
37,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
38,Automatic,1368,Petrol,Internal Combustion Engine (ICE),172
39,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
40,Automatic,1368,Petrol,Internal Combustion Engine (ICE),172
41,Manual,1368,Petrol,Internal Combustion Engine (ICE),156
42,Automatic,1368,Petrol,Internal Combustion Engine (ICE),165
43,Automatic,1368,Petrol,Internal Combustion Engine (ICE),160
44,Manual,1368,Petrol,Internal Combustion Engine (ICE),156
45,Automatic,1368,Petrol,Internal Combustion Engine (ICE),165
46,Automatic,1368,Petrol,Internal Combustion Engine (ICE),160
47,Manual,1368,Petrol,Internal Combustion Engine (ICE),156
48,Manual,1368,Petrol,Internal Combustion Engine (ICE),156
49,Manual,1368,Petrol,Internal Combustion Engine (ICE),165
50,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
51,Manual,1368,Petrol,Internal Combustion Engine (ICE),150
52,Manual,1368,Petrol,Internal Combustion Engine (ICE),159
53,Automatic,1368,Petrol,Internal Combustion Engine (ICE),153
54,Automatic,1368,Petrol,Internal Combustion Engine (ICE),160
55,Manual,1368,Petrol,Internal Combustion Engine (ICE),159
56,Manual,1368,Petrol,Internal Combustion Engine (ICE),150
57,Automatic,1368,Petrol,Internal Combustion Engine (ICE),153
58,Automatic,1368,Petrol,Internal Combustion Engine (ICE),160
59,Manual,1368,Petrol,Internal Combustion Engine (ICE),165
60,Manual,1368,Petrol,Internal Combustion Engine (ICE),171
61,Manual,1368,Petrol,Internal Combustion Engine (ICE),170
62,Manual,1368,Petrol,Internal Combustion Engine (ICE),190
63,Manual,1368,Petrol,Internal Combustion Engine (ICE),177
64,Manual,1368,Petrol,Internal Combustion Engine (ICE),164
65,Manual,1368,Petrol,Internal Combustion Engine (ICE),164
66,Manual,1368,Petrol,Internal Combustion Engine (ICE),177
67,Manual,1598,Diesel,Internal Combustion Engine (ICE),144
68,Manual,1598,Diesel,Internal Combustion Engine (ICE),155
69,Manual,1598,Diesel,Internal Combustion Engine (ICE),140
70,Manual,1598,Diesel,Internal Combustion Engine (ICE),151
71,Automatic,1598,Diesel,Internal Combustion Engine (ICE),141
72,Automatic,1598,Diesel,Internal Combustion Engine (ICE),153
73,Manual,1598,Diesel,Internal Combustion Engine (ICE),144
74,Manual,1598,Diesel,Internal Combustion Engine (ICE),155
75,Automatic,1598,Diesel,Internal Combustion Engine (ICE),141
76,Automatic,1956,Diesel,Internal Combustion Engine (ICE),153
77,Automatic,1995,Petrol,Internal Combustion Engine (ICE),184
78,Automatic,1995,Petrol,Internal Combustion Engine (ICE),171
79,Automatic,1995,Petrol,Internal Combustion Engine (ICE),184
80,Automatic,1995,Petrol,Internal Combustion Engine (ICE),171
81,Automatic,1995,Petrol,Internal Combustion Engine (ICE),193
82,Automatic,1995,Petrol,Internal Combustion Engine (ICE),184
83,Automatic,1995,Petrol,Internal Combustion Engine (ICE),195
84,Automatic,1995,Petrol,Internal Combustion Engine (ICE),180
85,Automatic,1995,Petrol,Internal Combustion Engine (ICE),195
86,Automatic,2143,Diesel,Internal Combustion Engine (ICE),134
87,Automatic,2143,Diesel,Internal Combustion Engine (ICE),153
88,Automatic,2143,Diesel,Internal Combustion Engine (ICE),134
89,Automatic,2143,Diesel,Internal Combustion Engine (ICE),153
90,Automatic,2143,Diesel,Internal Combustion Engine (ICE),134
91,Automatic,2143,Diesel,Internal Combustion Engine (ICE),153
92,Automatic,2143,Diesel,Internal Combustion Engine (ICE),134
93,Automatic,2143,Diesel,Internal Combustion Engine (ICE),153
94,Automatic,2891,Petrol,Internal Combustion Engine (ICE),238
95,Automatic,2891,Petrol,Internal Combustion Engine (ICE),243
96,Automatic,1995,Petrol,Internal Combustion Engine (ICE),207
97,Automatic,1995,Petrol,Internal Combustion Engine (ICE),228
98,Automatic,1995,Petrol,Internal Combustion Engine (ICE),202
99,Automatic,1995,Petrol,Internal Combustion Engine (ICE),222
100,Automatic,1995,Petrol,Internal Combustion Engine (ICE),202
101,Automatic,1995,Petrol,Internal Combustion Engine (ICE),222
102,Automatic,1995,Petrol,Internal Combustion Engine (ICE),207
103,Automatic,1995,Petrol,Internal Combustion Engine (ICE),228
104,Automatic,1995,Petrol,Internal Combustion Engine (ICE),205
105,Automatic,1995,Petrol,Internal Combustion Engine (ICE),222
106,Automatic,1995,Petrol,Internal Combustion Engine (ICE),205
107,Automatic,1995,Petrol,Internal Combustion Engine (ICE),222
108,Automatic,1995,Petrol,Internal Combustion Engine (ICE),222
109,Automatic,1995,Petrol,Internal Combustion Engine (ICE),205
110,Automatic,1995,Petrol,Internal Combustion Engine (ICE),202
111,Automatic,1995,Petrol,Internal Combustion Engine (ICE),219
112,Automatic,2143,Diesel,Internal Combustion Engine (ICE),162
113,Automatic,2143,Diesel,Internal Combustion Engine (ICE),188
114,Automatic,2143,Diesel,Internal Combustion Engine (ICE),162
115,Automatic,2143,Diesel,Internal Combustion Engine (ICE),182
116,Automatic,2143,Diesel,Internal Combustion Engine (ICE),162
117,Automatic,2143,Diesel,Internal Combustion Engine (ICE),182
