ProductKey	Product	Standard Cost	Color	Subcategory	Category	Background Color Format	Font Color Format
210	HL Road Frame - Black, 58	$868.63	Black	Road Frames	Components	#000000	#FFFFFF
215	Sport-100 Helmet, Black	$12.03	Black	Helmets	Accessories	#000000	#FFFFFF
216	Sport-100 Helmet, Black	$13.88	Black	Helmets	Accessories	#000000	#FFFFFF
217	Sport-100 Helmet, Black	$13.09	Black	Helmets	Accessories	#000000	#FFFFFF
253	LL Road Frame - Black, 58	$176.2	Black	Road Frames	Components	#000000	#FFFFFF
254	LL Road Frame - Black, 58	$170.14	Black	Road Frames	Components	#000000	#FFFFFF
255	LL Road Frame - Black, 58	$204.63	Black	Road Frames	Components	#000000	#FFFFFF
256	LL Road Frame - Black, 60	$176.2	Black	Road Frames	Components	#000000	#FFFFFF
257	LL Road Frame - Black, 60	$170.14	Black	Road Frames	Components	#000000	#FFFFFF
258	LL Road Frame - Black, 60	$204.63	Black	Road Frames	Components	#000000	#FFFFFF
259	LL Road Frame - Black, 62	$176.2	Black	Road Frames	Components	#000000	#FFFFFF
260	LL Road Frame - Black, 62	$170.14	Black	Road Frames	Components	#000000	#FFFFFF
261	LL Road Frame - Black, 62	$204.63	Black	Road Frames	Components	#000000	#FFFFFF
279	LL Road Frame - Black, 44	$176.2	Black	Road Frames	Components	#000000	#FFFFFF
280	LL Road Frame - Black, 44	$170.14	Black	Road Frames	Components	#000000	#FFFFFF
281	LL Road Frame - Black, 44	$204.63	Black	Road Frames	Components	#000000	#FFFFFF
282	LL Road Frame - Black, 48	$176.2	Black	Road Frames	Components	#000000	#FFFFFF
283	LL Road Frame - Black, 48	$170.14	Black	Road Frames	Components	#000000	#FFFFFF
284	LL Road Frame - Black, 48	$204.63	Black	Road Frames	Components	#000000	#FFFFFF
285	LL Road Frame - Black, 52	$176.2	Black	Road Frames	Components	#000000	#FFFFFF
286	LL Road Frame - Black, 52	$170.14	Black	Road Frames	Components	#000000	#FFFFFF
287	LL Road Frame - Black, 52	$204.63	Black	Road Frames	Components	#000000	#FFFFFF
296	HL Mountain Frame - Black, 42	$617.03	Black	Mountain Frames	Components	#000000	#FFFFFF
297	HL Mountain Frame - Black, 42	$653.7	Black	Mountain Frames	Components	#000000	#FFFFFF
298	HL Mountain Frame - Black, 42	$739.04	Black	Mountain Frames	Components	#000000	#FFFFFF
299	HL Mountain Frame - Black, 44	$699.09	Black	Mountain Frames	Components	#000000	#FFFFFF
300	HL Mountain Frame - Black, 48	$699.09	Black	Mountain Frames	Components	#000000	#FFFFFF
301	HL Mountain Frame - Black, 46	$617.03	Black	Mountain Frames	Components	#000000	#FFFFFF
302	HL Mountain Frame - Black, 46	$653.7	Black	Mountain Frames	Components	#000000	#FFFFFF
303	HL Mountain Frame - Black, 46	$739.04	Black	Mountain Frames	Components	#000000	#FFFFFF
304	HL Mountain Frame - Black, 38	$617.03	Black	Mountain Frames	Components	#000000	#FFFFFF
305	HL Mountain Frame - Black, 38	$653.7	Black	Mountain Frames	Components	#000000	#FFFFFF
306	HL Mountain Frame - Black, 38	$739.04	Black	Mountain Frames	Components	#000000	#FFFFFF
332	Road-650 Black, 58	$413.15	Black	Road Bikes	Bikes	#000000	#FFFFFF
333	Road-650 Black, 58	$486.71	Black	Road Bikes	Bikes	#000000	#FFFFFF
334	Road-650 Black, 60	$413.15	Black	Road Bikes	Bikes	#000000	#FFFFFF
335	Road-650 Black, 60	$486.71	Black	Road Bikes	Bikes	#000000	#FFFFFF
336	Road-650 Black, 62	$413.15	Black	Road Bikes	Bikes	#000000	#FFFFFF
337	Road-650 Black, 62	$486.71	Black	Road Bikes	Bikes	#000000	#FFFFFF
338	Road-650 Black, 44	$413.15	Black	Road Bikes	Bikes	#000000	#FFFFFF
339	Road-650 Black, 44	$486.71	Black	Road Bikes	Bikes	#000000	#FFFFFF
340	Road-650 Black, 48	$413.15	Black	Road Bikes	Bikes	#000000	#FFFFFF
341	Road-650 Black, 48	$486.71	Black	Road Bikes	Bikes	#000000	#FFFFFF
342	Road-650 Black, 52	$413.15	Black	Road Bikes	Bikes	#000000	#FFFFFF
343	Road-650 Black, 52	$486.71	Black	Road Bikes	Bikes	#000000	#FFFFFF
348	Mountain-100 Black, 38	$1,898.09	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
349	Mountain-100 Black, 42	$1,898.09	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
350	Mountain-100 Black, 44	$1,898.09	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
351	Mountain-100 Black, 48	$1,898.09	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
358	Mountain-200 Black, 38	$1,105.81	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
359	Mountain-200 Black, 38	$1,251.98	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
360	Mountain-200 Black, 42	$1,105.81	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
361	Mountain-200 Black, 42	$1,251.98	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
362	Mountain-200 Black, 46	$1,105.81	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
363	Mountain-200 Black, 46	$1,251.98	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
364	Mountain-300 Black, 38	$598.44	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
365	Mountain-300 Black, 40	$598.44	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
366	Mountain-300 Black, 44	$598.44	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
367	Mountain-300 Black, 48	$598.44	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
373	Road-250 Black, 44	$1,320.68	Black	Road Bikes	Bikes	#000000	#FFFFFF
374	Road-250 Black, 44	$1,554.95	Black	Road Bikes	Bikes	#000000	#FFFFFF
375	Road-250 Black, 48	$1,320.68	Black	Road Bikes	Bikes	#000000	#FFFFFF
376	Road-250 Black, 48	$1,554.95	Black	Road Bikes	Bikes	#000000	#FFFFFF
377	Road-250 Black, 52	$1,320.68	Black	Road Bikes	Bikes	#000000	#FFFFFF
378	Road-250 Black, 52	$1,554.95	Black	Road Bikes	Bikes	#000000	#FFFFFF
379	Road-250 Black, 58	$1,320.68	Black	Road Bikes	Bikes	#000000	#FFFFFF
380	Road-250 Black, 58	$1,554.95	Black	Road Bikes	Bikes	#000000	#FFFFFF
409	ML Mountain Frame - Black, 38	$185.82	Black	Mountain Frames	Components	#000000	#FFFFFF
410	LL Mountain Front Wheel	$26.97	Black	Wheels	Components	#000000	#FFFFFF
411	ML Mountain Front Wheel	$92.81	Black	Wheels	Components	#000000	#FFFFFF
412	HL Mountain Front Wheel	$133.3	Black	Wheels	Components	#000000	#FFFFFF
413	LL Road Front Wheel	$37.99	Black	Wheels	Components	#000000	#FFFFFF
414	ML Road Front Wheel	$110.28	Black	Wheels	Components	#000000	#FFFFFF
415	HL Road Front Wheel	$146.55	Black	Wheels	Components	#000000	#FFFFFF
416	Touring Front Wheel	$96.8	Black	Wheels	Components	#000000	#FFFFFF
419	LL Mountain Rear Wheel	$38.96	Black	Wheels	Components	#000000	#FFFFFF
420	ML Mountain Rear Wheel	$104.8	Black	Wheels	Components	#000000	#FFFFFF
421	HL Mountain Rear Wheel	$145.28	Black	Wheels	Components	#000000	#FFFFFF
422	LL Road Rear Wheel	$49.98	Black	Wheels	Components	#000000	#FFFFFF
423	ML Road Rear Wheel	$122.27	Black	Wheels	Components	#000000	#FFFFFF
424	HL Road Rear Wheel	$158.53	Black	Wheels	Components	#000000	#FFFFFF
425	Touring Rear Wheel	$108.78	Black	Wheels	Components	#000000	#FFFFFF
426	ML Mountain Frame - Black, 40	$185.82	Black	Mountain Frames	Components	#000000	#FFFFFF
427	ML Mountain Frame - Black, 44	$185.82	Black	Mountain Frames	Components	#000000	#FFFFFF
428	ML Mountain Frame - Black, 48	$185.82	Black	Mountain Frames	Components	#000000	#FFFFFF
437	HL Road Frame - Black, 62	$722.26	Black	Road Frames	Components	#000000	#FFFFFF
438	HL Road Frame - Black, 62	$868.63	Black	Road Frames	Components	#000000	#FFFFFF
439	HL Road Frame - Black, 44	$868.63	Black	Road Frames	Components	#000000	#FFFFFF
440	HL Road Frame - Black, 44	$868.63	Black	Road Frames	Components	#000000	#FFFFFF
441	HL Road Frame - Black, 48	$722.26	Black	Road Frames	Components	#000000	#FFFFFF
442	HL Road Frame - Black, 48	$868.63	Black	Road Frames	Components	#000000	#FFFFFF
443	HL Road Frame - Black, 52	$722.26	Black	Road Frames	Components	#000000	#FFFFFF
444	HL Road Frame - Black, 52	$868.63	Black	Road Frames	Components	#000000	#FFFFFF
445	Men's Sports Shorts, S	$24.75	Black	Shorts	Clothing	#000000	#FFFFFF
453	Men's Sports Shorts, M	$24.75	Black	Shorts	Clothing	#000000	#FFFFFF
454	Men's Sports Shorts, L	$24.75	Black	Shorts	Clothing	#000000	#FFFFFF
455	Men's Sports Shorts, XL	$24.75	Black	Shorts	Clothing	#000000	#FFFFFF
456	Women's Tights, S	$30.93	Black	Tights	Clothing	#000000	#FFFFFF
457	Women's Tights, M	$30.93	Black	Tights	Clothing	#000000	#FFFFFF
458	Women's Tights, L	$30.93	Black	Tights	Clothing	#000000	#FFFFFF
462	Half-Finger Gloves, S	$9.71	Black	Gloves	Clothing	#000000	#FFFFFF
463	Half-Finger Gloves, S	$9.16	Black	Gloves	Clothing	#000000	#FFFFFF
464	Half-Finger Gloves, M	$9.71	Black	Gloves	Clothing	#000000	#FFFFFF
465	Half-Finger Gloves, M	$9.16	Black	Gloves	Clothing	#000000	#FFFFFF
466	Half-Finger Gloves, L	$9.71	Black	Gloves	Clothing	#000000	#FFFFFF
467	Half-Finger Gloves, L	$9.16	Black	Gloves	Clothing	#000000	#FFFFFF
468	Full-Finger Gloves, S	$15.67	Black	Gloves	Clothing	#000000	#FFFFFF
469	Full-Finger Gloves, M	$15.67	Black	Gloves	Clothing	#000000	#FFFFFF
470	Full-Finger Gloves, L	$15.67	Black	Gloves	Clothing	#000000	#FFFFFF
474	Women's Mountain Shorts, S	$26.18	Black	Shorts	Clothing	#000000	#FFFFFF
475	Women's Mountain Shorts, M	$26.18	Black	Shorts	Clothing	#000000	#FFFFFF
476	Women's Mountain Shorts, L	$26.18	Black	Shorts	Clothing	#000000	#FFFFFF
531	LL Mountain Frame - Black, 42	$136.79	Black	Mountain Frames	Components	#000000	#FFFFFF
532	LL Mountain Frame - Black, 44	$136.79	Black	Mountain Frames	Components	#000000	#FFFFFF
533	LL Mountain Frame - Black, 48	$136.79	Black	Mountain Frames	Components	#000000	#FFFFFF
534	LL Mountain Frame - Black, 52	$136.79	Black	Mountain Frames	Components	#000000	#FFFFFF
550	LL Mountain Frame - Black, 40	$136.79	Black	Mountain Frames	Components	#000000	#FFFFFF
556	LL Crankset	$77.92	Black	Cranksets	Components	#000000	#FFFFFF
557	ML Crankset	$113.88	Black	Cranksets	Components	#000000	#FFFFFF
558	HL Crankset	$179.82	Black	Cranksets	Components	#000000	#FFFFFF
584	Road-750 Black, 58	$343.65	Black	Road Bikes	Bikes	#000000	#FFFFFF
596	Mountain-500 Black, 40	$294.58	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
597	Mountain-500 Black, 42	$294.58	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
598	Mountain-500 Black, 44	$294.58	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
599	Mountain-500 Black, 48	$294.58	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
600	Mountain-500 Black, 52	$294.58	Black	Mountain Bikes	Bikes	#000000	#FFFFFF
604	Road-750 Black, 44	$343.65	Black	Road Bikes	Bikes	#000000	#FFFFFF
605	Road-750 Black, 48	$343.65	Black	Road Bikes	Bikes	#000000	#FFFFFF
606	Road-750 Black, 52	$343.65	Black	Road Bikes	Bikes	#000000	#FFFFFF
211	HL Road Frame - Red, 58	$868.63	Red	Road Frames	Components	#FF0000	#FFFFFF
212	Sport-100 Helmet, Red	$12.03	Red	Helmets	Accessories	#FF0000	#FFFFFF
213	Sport-100 Helmet, Red	$13.88	Red	Helmets	Accessories	#FF0000	#FFFFFF
214	Sport-100 Helmet, Red	$13.09	Red	Helmets	Accessories	#FF0000	#FFFFFF
220	Sport-100 Helmet, Blue	$12.03	Blue	Helmets	Accessories	#0000FF	#FFFFFF
218	Mountain Bike Socks, M	$3.4	White	Socks	Clothing	#FFFFFF	#000000
219	Mountain Bike Socks, L	$3.4	White	Socks	Clothing	#FFFFFF	#000000
221	Sport-100 Helmet, Blue	$13.88	Blue	Helmets	Accessories	#0000FF	#FFFFFF
222	Sport-100 Helmet, Blue	$13.09	Blue	Helmets	Accessories	#0000FF	#FFFFFF
223	AWC Logo Cap	$5.71	Multi	Caps	Clothing	#BC8F8F	#000000
224	AWC Logo Cap	$5.23	Multi	Caps	Clothing	#BC8F8F	#000000
225	AWC Logo Cap	$6.92	Multi	Caps	Clothing	#BC8F8F	#000000
226	Long-Sleeve Logo Jersey, S	$31.72	Multi	Jerseys	Clothing	#BC8F8F	#000000
